"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"14.07.2018","6,235.1","6,219.7","6,287.0","6,179.3","14.45K","0.24%"
"13.07.2018","6,220.0","6,240.6","6,335.1","6,133.4","20.09K","-0.46%"
"12.07.2018","6,249.0","6,377.7","6,377.7","6,080.8","24.98K","-2.02%"
"11.07.2018","6,377.8","6,299.0","6,402.8","6,287.7","16.41K","1.21%"
"10.07.2018","6,301.5","6,666.9","6,680.1","6,269.3","28.02K","-5.48%"
"09.07.2018","6,666.7","6,705.9","6,820.0","6,617.1","16.30K","-0.60%"
"08.07.2018","6,707.0","6,761.8","6,790.8","6,669.1","13.71K","-0.81%"
"07.07.2018","6,761.7","6,602.2","6,826.1","6,511.5","15.29K","2.42%"
"06.07.2018","6,602.1","6,531.6","6,636.9","6,452.9","14.95K","0.95%"
"05.07.2018","6,540.2","6,589.9","6,697.7","6,452.0","23.13K","-0.76%"
"04.07.2018","6,590.0","6,509.0","6,778.3","6,418.7","22.49K","1.38%"
"03.07.2018","6,500.0","6,617.6","6,672.4","6,470.5","17.26K","-1.24%"
"02.07.2018","6,581.3","6,617.6","6,672.4","6,539.0","26.92K","3.65%"
"01.07.2018","6,349.7","6,391.5","6,435.0","6,260.2","11.38K","-0.65%"
"30.06.2018","6,391.5","6,208.2","6,518.1","6,195.8","23.86K","2.95%"
"29.06.2018","6,208.1","5,848.1","6,273.0","5,782.9","33.93K","6.12%"
"28.06.2018","5,850.0","6,133.1","6,167.7","5,829.9","17.94K","-4.62%"
"27.06.2018","6,133.1","6,073.5","6,181.4","5,989.0","18.27K","0.90%"
"26.06.2018","6,078.5","6,250.8","6,273.7","6,050.2","18.83K","-2.69%"
"25.06.2018","6,246.6","6,146.1","6,334.2","6,082.1","27.91K","1.60%"
"24.06.2018","6,148.0","6,151.9","6,249.7","5,762.9","45.50K","-0.06%"
"23.06.2018","6,152.0","6,041.0","6,253.9","6,014.0","20.70K","1.81%"
"22.06.2018","6,042.6","6,715.2","6,730.7","5,929.1","55.25K","-9.99%"
"21.06.2018","6,713.5","6,760.0","6,787.1","6,680.1","10.65K","-0.69%"
"20.06.2018","6,760.4","6,732.7","6,818.2","6,560.0","18.71K","0.34%"
"19.06.2018","6,737.5","6,711.6","6,832.9","6,666.2","17.38K","0.42%"
"18.06.2018","6,709.2","6,443.5","6,826.8","6,378.6","26.37K","4.25%"
"17.06.2018","6,435.7","6,491.0","6,573.0","6,426.9","9.44K","-0.77%"
"16.06.2018","6,485.9","6,386.2","6,557.2","6,330.0","13.70K","1.58%"
"15.06.2018","6,385.0","6,638.0","6,655.5","6,360.3","21.29K","-3.75%"
"14.06.2018","6,633.7","6,295.1","6,703.4","6,269.5","33.06K","5.38%"
"13.06.2018","6,295.2","6,543.1","6,611.7","6,125.7","45.58K","-3.80%"
"12.06.2018","6,543.9","6,873.2","6,873.2","6,441.0","32.01K","-4.79%"
"11.06.2018","6,873.3","6,757.3","6,897.0","6,631.0","22.38K","1.72%"
"10.06.2018","6,757.3","7,498.1","7,498.1","6,633.9","57.82K","-9.89%"
"09.06.2018","7,498.6","7,615.2","7,684.9","7,467.7","7.22K","-1.53%"
"08.06.2018","7,615.1","7,685.7","7,697.0","7,544.0","12.20K","-0.96%"
"07.06.2018","7,688.9","7,653.9","7,756.1","7,645.8","11.04K","0.46%"
"06.06.2018","7,654.0","7,621.9","7,698.0","7,495.2","18.27K","0.42%"
"05.06.2018","7,621.7","7,487.9","7,669.0","7,372.9","16.84K","1.78%"
"04.06.2018","7,488.3","7,718.0","7,761.5","7,457.5","18.13K","-2.98%"
"03.06.2018","7,718.0","7,639.0","7,777.4","7,600.0","13.80K","1.05%"
"02.06.2018","7,638.1","7,521.1","7,691.2","7,445.5","17.36K","1.56%"
"01.06.2018","7,521.0","7,485.9","7,599.8","7,344.8","19.04K","0.47%"